23133486	1762944950		
23133486	1191294751		
23133486	1763007729		
23133486	1869716906		
23133486	1191294795		
23133486	1763007749		
23133486	1191294760		
23133486	1869716894		
23133486	1869716893		
23133486	1762945118		
23133486	1869716889		
23133486	1191294767		
23133486	1869716885		
23133486	1869716870		
23133486	1191294780		
23133486	1869716868		
23133486	1869716866		
23133486	1191294765		
23133486	1762944925		
23133486	939091187		
23133486	1191294803		
23133486	1191294690		
23133486	1869716891		
23133486	1191294825		
23133486	939091038		
23133486	3947464981		
23133486	1191294688		
23133486	1869716913		
23133486	1763007723		
23133486	1393278504		
23133486	1869716920		
23133486	1393278678		
23133486	1763007739		
23133486	928561491		
23133486	1709594983		
23133486	1869716923		
23133486	1763007752		
23133486	939091095		
23133486	1762944950		
23133486		highway	unclassified
23133486		oneway	yes
23133600	249782337		
23133600	1393416691		
23133600	1869716858		
23133600	1869716860		
23133600	1393416727		
23133600	1869716864		
23133600	249782331		
23133600	1393416725		
23133600	1393416683		
23133600	1393416912		
23133600	1393416776		
23133600	1393416693		
23133600	267198390		
23133600	1393416820		
23133600	1393416823		
23133600	1869716945		
23133600	1869716948		
23133600	1869716952		
23133600	1869716957		
23133600	267198392		
23133600	1869716953		
23133600	1869716950		
23133600	1709594985		
23133600	1869716946		
23133600	1869716940		
23133600	1869716937		
23133600	249782349		
23133600	1869716918		
23133600	1869716904		
23133600	1191294792		
23133600	1191294829		
23133600	1869716892		
23133600	1869716887		
23133600	1869716872		
23133600		highway	residential
23133600		oneway	yes
23133709	1393416815		
23133709	1869716943		
23133709	249783257		
23133709	1762977539		
23133709	1762977406		
23133709	1869716916		
23133709	1869716897		
23133709	1869716896		
23133709	1762977491		
23133709	1762977533		
23133709	267247460		
23133709	939091123		
23133709	1869716862		
23133709	3744502776		
23133709	3947529836		
23133709	1309626482		
23133709	1869716856		
23133709	1762944968		
23133709	1762945123		
23133709	249783293		
23133709	1869716849		
23133709	267198388		
23133709	3947529835		
23133709	267198387		
23133709	249783302		
23133709	1762977534		
23133709	3661513076		
23133709	1869716895		
